D:\simulator-windows-64\IMG\center_2020_12_02_11_48_22_256.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_22_256.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_22_256.jpg, 0, 0, 0, 7.989978E-05
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_22_616.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_22_616.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_22_616.jpg, 0, 0, 0, 8.110826E-05
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_22_851.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_22_851.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_22_851.jpg, 0, 0, 0, 8.141638E-05
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_23_048.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_23_048.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_23_048.jpg, 0, 0, 0, 7.953666E-05
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_23_230.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_23_230.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_23_230.jpg, 0, 0, 0, 7.803352E-05
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_23_351.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_23_351.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_23_351.jpg, 0, 0, 0, 7.822214E-05
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_23_497.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_23_497.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_23_497.jpg, 0, 0, 0, 7.827648E-05
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_23_716.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_23_716.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_23_716.jpg, 0, 0.6472506, 0, 1.607053
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_23_838.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_23_838.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_23_838.jpg, 0, 1, 0, 3.020078
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_24_011.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_24_011.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_24_011.jpg, 0, 1, 0, 4.891745
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_24_119.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_24_119.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_24_119.jpg, 0, 1, 0, 6.278903
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_24_276.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_24_276.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_24_276.jpg, -0.4680051, 1, 0, 7.996507
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_24_431.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_24_431.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_24_431.jpg, -0.00647071, 1, 0, 9.756679
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_24_658.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_24_658.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_24_658.jpg, 0, 0.3190324, 0, 10.4421
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_24_762.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_24_762.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_24_762.jpg, 0, 0.005944341, 0, 10.37077
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_24_879.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_24_879.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_24_879.jpg, 0, 0, 0, 10.2465
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_25_048.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_25_048.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_25_048.jpg, -0.5034504, 0, 0, 9.904696
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_25_178.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_25_178.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_25_178.jpg, -0.8951178, 0, 0, 9.532561
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_25_306.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_25_306.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_25_306.jpg, -0.5102327, 0, 0, 9.454053
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_25_434.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_25_434.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_25_434.jpg, -0.1258358, 0, 0, 9.298852
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_25_687.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_25_687.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_25_687.jpg, -0.8677601, 0, 0, 8.685693
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_25_849.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_25_849.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_25_849.jpg, -0.3662231, 0, 0, 8.558392
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_26_013.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_26_013.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_26_013.jpg, 0, 0, 0, 8.369016
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_26_213.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_26_213.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_26_213.jpg, -0.6017436, 0, 0, 7.99538
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_26_412.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_26_412.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_26_412.jpg, -0.005693674, 0, 0, 7.770345
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_26_519.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_26_519.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_26_519.jpg, 0, 0, 0, 7.692232
D:\simulator-windows-64\IMG\center_2020_12_02_11_48_26_656.jpg, D:\simulator-windows-64\IMG\left_2020_12_02_11_48_26_656.jpg, D:\simulator-windows-64\IMG\right_2020_12_02_11_48_26_656.jpg, 0, 0, 0, 7.584383
